Название вакансии,Название компании,зарплата,ссылка на вакансию
Web-программист,АО Новый регистратор,80 000 – 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105936172?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,ЗАО НИЦ РЕЗОНАНС,150 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105307928?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист ПЛК,ЭКСПО-ТОРГ,200 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105053154?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (офис),Ассоциация Специалистов Городского Хозяйства по Развитию Управленческих Кадров,250 000 – 333 000 ₽ до вычета налогов,https://hh.ru/vacancy/105773747?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист HTML, SQL, EXCEL, Pascal",ООО Проверенные Технологии,от 140 000 ₽ до вычета налогов,https://hh.ru/vacancy/88098135?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик АСУ ТП,ООО БИОТЕХНО,от 200 000 ₽ на руки,https://hh.ru/vacancy/104972080?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - разработчик (SHERPA RPA / голосовые роботы / нейронки),PRO100Robot,80 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105414784?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист С++,"Эверис, Представительство",200 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/99967622?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,ООО Кластерные технологии Софтпоинт,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105800261?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С программист (ученик),Aston,70 000 – 80 000 ₽ до вычета налогов,https://hh.ru/vacancy/105717303?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист 1С,RE Сoders,от 150 000 ₽ на руки,https://hh.ru/vacancy/105060450?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Разработчик программного обеспечения (очный, удаленный или гибридный формат)",ООО Термика,225 000 – 340 000 ₽ до вычета налогов,https://hh.ru/vacancy/105238399?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист (C, Linux)",ООО АМИКОН,200 000 – 260 000 ₽ до вычета налогов,https://hh.ru/vacancy/100062723?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"ОКБ имени А. Люльки, филиал ПАО ОДК-УМПО",170 000 – 187 000 ₽ до вычета налогов,https://hh.ru/vacancy/105903716?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++/Qt,Компания ДЭП,110 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105855780?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Зелинский и Розен парфюмерия,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/106003600?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C/С++,ООО НТМ-ЗАЩИТА,от 110 000 ₽ до вычета налогов,https://hh.ru/vacancy/103523571?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Математик-программист,ООО Автомакон,от 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105030922?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C#,ООО Амс Тимс,до 300 000 ₽ на руки,https://hh.ru/vacancy/99559204?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
