Название вакансии,Название компании,зарплата,ссылка на вакансию
Программист 1С,ООО Сити Лайт,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105483242?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Информационные технологии,до 260 000 ₽ до вычета налогов,https://hh.ru/vacancy/102757746?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С Senior,ООО Финтех-Гид,от 250 000 ₽ на руки,https://hh.ru/vacancy/104581918?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,УК ТАВРОС,до 150 000 ₽ на руки,https://hh.ru/vacancy/105999306?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Агентство кадрового аутсорсинга ALL HR,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/91325750?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Bitrix,Awelite,до 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105216102?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист - разработчик / технический архитектор 1С 8, 1С:ERP, 1C:КА",ООО ИТРП,250 000 – 320 000 ₽ на руки,https://hh.ru/vacancy/92891117?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Первый Бит,до 250 000 ₽ на руки,https://hh.ru/vacancy/102528366?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший методист,ЧУ ДО Московская школа программистов,90 000 – 130 000 ₽ на руки,https://hh.ru/vacancy/104886236?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full Stack разработчик,ООО Тион,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104719862?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Вакансия Full-Stack разработчик 1С-Bitrix,"Vintegra, Альянс",от 150 000 ₽ на руки,https://hh.ru/vacancy/106046163?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Рациональ-Софт,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104627659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С 8.2,ООО Нг-Логистик,80 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/105972244?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,LITOKOL,до 287 360 ₽ до вычета налогов,https://hh.ru/vacancy/105463127?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Алабуга. Управление цифровой трансформации,от 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105934343?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный администратор,ЧУ ДО Московская школа программистов,от 88 000 ₽ до вычета налогов,https://hh.ru/vacancy/105853579?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,УК ТАВРОС,до 180 000 ₽ на руки,https://hh.ru/vacancy/104357891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО ИЛС,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/106029798?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист (разработчик) 1С,Стокманн,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/104586082?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный программист C++ (Linux),ООО Роботех,180 000 – 220 000 ₽ на руки,https://hh.ru/vacancy/105244063?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Rendez-Vous. IT,от 200 000 ₽ на руки,https://hh.ru/vacancy/102096974?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack веб-разработчик/разработчик приложений,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://hh.ru/vacancy/102483129?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик (RTL),НИИМА «Прогресс»,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105337168?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C -Bitrix/Бэкенд разработчик/Фронтенд разработчик,Villeroy & Boch Tableware division,от 100 000 ₽ на руки,https://hh.ru/vacancy/105182315?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,MALLTECH,до 250 000 ₽ на руки,https://hh.ru/vacancy/105630568?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,MALLTECH,до 250 000 ₽ на руки,https://hh.ru/vacancy/105630568?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Доступный Сервис,150 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105933941?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Perl,ООО Базальт СПО,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105408314?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,ФГБУ НЦЭСМП Минздрава России,от 140 000 ₽ на руки,https://hh.ru/vacancy/100034308?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО АТР,от 200 000 ₽ на руки,https://hh.ru/vacancy/105539275?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Вератис,250 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/105905693?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик (Middle/Middle+),ГК РусьСтройЭкспертиза,от 150 000 ₽ на руки,https://hh.ru/vacancy/105831842?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ИП Семина Анастасия Анатольевна,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105891251?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,EXPOCAR,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105856347?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ЯРД,от 250 000 ₽ на руки,https://hh.ru/vacancy/105478881?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик,ООО Си-Ди-Эм-Эм,160 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105258206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С мобильных и веб решений,ООО ДелоТех,150 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/104248870?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ДНКОМ,до 200 000 ₽ на руки,https://hh.ru/vacancy/105753253?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C# ASP.NET MVC,АО «СОЮЗСНАБ»,200 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/105804259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,EFT GROUP,от 120 000 ₽ на руки,https://hh.ru/vacancy/105717370?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ГАУ ИНСТИТУТ ГЕНПЛАНА МОСКВЫ,150 000 – 207 000 ₽ на руки,https://hh.ru/vacancy/105792208?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,ООО АВТОДРАЙВ.РУ,от 100 000 ₽ на руки,https://hh.ru/vacancy/104703717?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend C# ASP.NET developer (Middle),Signal,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/103886514?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ProfiStaff,300 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105135704?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик(Фулл-стек разработчик),ИП Гальченко Тимофей Валерьевич,от 100 000 ₽ на руки,https://hh.ru/vacancy/105658265?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик RPA роботов (Robotic process automation developer)+GPT,ООО АН2,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105601475?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО БиАйЭй-Технолоджиз,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/89775123?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,ISS,250 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105545791?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик AR-приложений,ФГБУ ГИВЦ Минкультуры России,150 000 – 170 000 ₽ на руки,https://hh.ru/vacancy/104721142?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PLC,Каллисто Вижн,от 150 000 ₽ на руки,https://hh.ru/vacancy/95650506?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик AR-приложений,ФГБУ ГИВЦ Минкультуры России,150 000 – 170 000 ₽ на руки,https://hh.ru/vacancy/104721142?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PLC,Каллисто Вижн,от 150 000 ₽ на руки,https://hh.ru/vacancy/95650506?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Premier Basic Professional,от 180 000 ₽ на руки,https://hh.ru/vacancy/105498669?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист / Разработчик .NET (C#),Megatec,150 000 – 170 000 ₽ на руки,https://hh.ru/vacancy/105448032?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C-разработчик (системное программирование),ООО РВ-Системс,от 200 000 ₽ на руки,https://hh.ru/vacancy/105512090?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО Мосметрострой,160 000 – 160 000 ₽ до вычета налогов,https://hh.ru/vacancy/104553033?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Rust,ООО Базальт СПО,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105408678?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист T-flex,АО НТЦ ЭЛИНС,от 250 000 ₽ на руки,https://hh.ru/vacancy/91353022?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Колобаева Ольга Дмитриевна,от 100 000 ₽ на руки,https://hh.ru/vacancy/105447364?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ДОБРОЦЕН,от 150 000 ₽ на руки,https://hh.ru/vacancy/105469694?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,АО Российские космические системы,80 000 – 170 000 ₽ до вычета налогов,https://hh.ru/vacancy/103777222?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО НПЦАП (Научно-производственный центр автоматики и приборостроения имени академика Н. А. Пилюгина),от 88 000 ₽ на руки,https://hh.ru/vacancy/98088959?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик,ООО Велесстрой,220 000 – 240 000 ₽ на руки,https://hh.ru/vacancy/101953895?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ГРИФФИН,120 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/105333452?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (можно гибридный график),APEX.RU (Автозапчасти),от 120 000 ₽ на руки,https://hh.ru/vacancy/105339183?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1с,ООО Цифровые привычки,200 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105325983?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ИП Жарашуева Зита Хажимуссаевна,120 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105039505?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист прикладного ПО | frontend-разработчик | инженер-программист,vteme.consulting,100 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105074478?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C# (.Net),ООО Ридан Трейд,от 100 000 ₽ на руки,https://hh.ru/vacancy/103612327?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Нек. орг. Российский университет дружбы народов, ФГАОУ ВО",150 000 – 190 000 ₽ до вычета налогов,https://hh.ru/vacancy/105078967?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист GО (Senior),ГК Innostage,до 330 000 ₽ на руки,https://hh.ru/vacancy/105135740?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ProfiStaff,150 000 – 220 000 ₽ до вычета налогов,https://hh.ru/vacancy/105034024?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ПИК-Комфорт,до 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/104950490?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Peak-it (ИП Карташов Виталий Владимирович),от 190 000 ₽ на руки,https://hh.ru/vacancy/104802590?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО ВИТО,100 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/104962723?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик/Программист 1С,ИП Суханов Вячеслав Андреевич,180 000 – 240 000 ₽ на руки,https://hh.ru/vacancy/104828564?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО УМК АРТСМЕД,до 170 000 ₽ до вычета налогов,https://hh.ru/vacancy/105033392?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Мостоотряд-47,220 000 – 220 000 ₽ до вычета налогов,https://hh.ru/vacancy/93913195?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Агентство КИТ Консалт,до 320 000 ₽ до вычета налогов,https://hh.ru/vacancy/102074237?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Энтерэго,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104714466?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Энтерэго,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104714466?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (разработчик) 1С,iТехник,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/104477455?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
